分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2024-03-16,2026-06-03,"40-65/ 北屯南屯 / 換屋族(0402換區域+輪廓",inactive,4699,1646,,,2,1479,actions:leadgen.other,2958,8000,總經費,126,0.76612,2.8548,2025-03-26,2025-04-30
2024-03-16,2026-06-03,"32-65/公益 七期 14期 豐原/貿易 商業 質感生活-1510",inactive,3088,1588,,,1,1648,actions:leadgen.other,1648,5350,總經費,97,0.874352,1.944584,2025-03-27,2025-04-30
2024-03-16,2026-06-03,"30-60/ 1%+旅遊興趣",inactive,608,420,,,,,,401,600,總經費,10,0.164474,1.447619,2025-03-28,2025-03-31
2024-03-16,2026-06-03,28-65/澄石+藏富+北屯高總1%+科技興趣,inactive,3417,1501,1,,2,864.5,actions:leadgen.other,1729,7000,總經費,70,0.585309,2.276482,2025-04-01,2025-04-30
2024-03-16,2026-06-03,35-60/西屯水湳/youtuber/進口代理商/投資興趣(1210調),inactive,14207,5551,2,,11,494.36363636,actions:leadgen.other,5438,6200,總經費,520,1.126205,2.559359,2024-11-11,2026-05-31
2024-03-16,2026-06-03,區域再行銷-1510,inactive,11588,6028,3,3,11,315.45454545,actions:leadgen.other,3470,4498,總經費,708,1.190887,1.922362,2024-12-18,2025-09-12
2024-03-16,2026-06-03,35-60/南屯西屯烏日/精品化妝品/進口代理商/投資興趣(0206調)-1510,inactive,60288,20151,8,3,35,372.25714286,actions:leadgen.other,13029,13400,總經費,2505,0.918923,2.991812,2025-01-17,2025-07-24
2024-03-16,2026-06-03,35-65/烏日彰化/退休置產-1510,inactive,6659,3612,2,1,6,312.33333333,actions:leadgen.other,1874,6300,總經費,250,0.916053,1.843577,2025-03-04,2025-12-31
2024-03-16,2026-06-03,"35-65/西屯 水湳 南區/科技 半導體 投資(0414二調)-1510",inactive,22412,8144,5,1,12,583.41666667,actions:leadgen.other,7001,8000,總經費,980,0.959308,2.751965,2025-03-27,2025-07-15
2024-03-16,2026-06-03,28-65/澄石+藏富+北屯高總1%+理財興趣,inactive,6094,2900,,1,5,587,actions:leadgen.other,2935,6000,總經費,84,0.475878,2.101379,2025-04-08,2025-04-30
2024-03-16,2026-06-03,35-60/西屯水湳/youtuber/進口代理商/投資興趣-1510,not_delivering,2932,1789,,,2,413.5,actions:leadgen.other,827,2500,總經費,137,1.023192,1.638904,2025-04-21,2025-04-30
2024-03-16,2026-06-03,32-60/沙鹿清水豐原/貿易商/政治興趣-1510,inactive,1393,945,,,,,,505,2500,總經費,63,1.1486,1.474074,2025-04-21,2025-04-30
2024-03-16,2026-06-03,32-60/東海西屯/企業家/民間信仰-1510,inactive,1397,1000,,,1,473,actions:leadgen.other,473,2500,總經費,59,1.073729,1.397,2025-04-21,2025-04-30
2024-03-16,2026-06-03,28-65/1510+藏富+北屯高總1%+理財興趣,inactive,884,664,,,,,,474,2500,總經費,9,0.113122,1.331325,2025-04-21,2025-04-30
2024-03-16,2026-06-03,40-60/台中市區大里彰化/高收入家庭/民間信仰/美食節目-1510,not_delivering,924,720,,,,,,275,2000,總經費,46,0.541126,1.283333,2025-04-23,2025-04-30
2024-03-16,2026-06-03,30-55/中科+工業區/工程師/科技業/科幻片-1510,not_delivering,1150,898,,,,,,307,2100,總經費,22,0.695652,1.280624,2025-04-23,2025-04-30
2024-03-16,2026-06-03,"202504_景立方_高校速成_台中大範圍 廣告組合",not_delivering,26831,9885,4,11,16,410.375,actions:leadgen.other,6566,300,每日,1248,1.188923,2.714315,2025-04-24,進行中
2024-03-16,2026-06-03,"202504_景立方_高校速成_中科+北台中(0426調 廣告組合",not_delivering,5487,4127,,1,1,1365,actions:leadgen.other,1365,300,每日,258,1.111719,1.329537,2025-04-24,進行中
2024-03-16,2026-06-03,"202504_景立方_高校速成_南台中(0515調 廣告組合",not_delivering,34117,14862,2,15,18,462.27777778,actions:leadgen.other,8321,300,每日,1023,0.706393,2.295586,2025-04-24,進行中
2024-03-16,2026-06-03,30-65/北屯南屯西屯/醫師,not_delivering,2123,1260,,,,,,945,250,每日,84,1.224682,1.684921,2025-04-28,進行中
2024-03-16,2026-06-03,30-65/北屯北區/在地文教家庭,inactive,765,526,,,,,,652,250,每日,22,0.522876,1.454373,2025-05-02,進行中
2024-03-16,2026-06-03,"30-65/北屯水湳豐原/商務業務  國際學校 成家",inactive,2506,1339,,,2,754.5,actions:leadgen.other,1509,250,每日,63,0.798085,1.871546,2025-05-02,進行中
2024-03-16,2026-06-03,用高校速成_南台中(0426調)的受眾,inactive,3429,2038,,,2,1181,actions:leadgen.other,2362,250,每日,58,0.554097,1.682532,2025-05-02,進行中
2024-03-16,2026-06-03,30-60/北屯西屯/廚師興趣,inactive,1278,810,,,1,1086,actions:leadgen.other,1086,250,每日,51,0.938967,1.577778,2025-05-12,進行中
2024-03-16,2026-06-03,30-60/西屯北屯/科技製造業主管,inactive,1880,1110,,,1,1037,actions:leadgen.other,1037,250,每日,53,0.425532,1.693694,2025-05-15,進行中
2024-03-16,2026-06-03,30-60/北屯西屯/投資置產/高收興趣,inactive,2833,1390,,,2,893,actions:leadgen.other,1786,250,每日,66,0.776562,2.03813,2025-05-19,進行中
2024-03-16,2026-06-03,30-60/沿74線/投資/加工業/儲蓄,inactive,953,609,,,1,818,actions:leadgen.other,818,250,每日,22,0.839454,1.56486,2025-05-26,進行中
2024-03-16,2026-06-03,25-60/台中大範圍/自營商/軍公教/上班族,inactive,4733,2158,,,4,479.5,actions:leadgen.other,1918,250,每日,99,0.676104,2.193234,2025-05-29,進行中
2024-03-16,2026-06-03,30-60/北台中/工程師/科技業,inactive,3018,1729,,,1,1518,actions:leadgen.other,1518,250,每日,71,0.861498,1.745518,2025-06-05,進行中
2024-03-16,2026-06-03,30-60/北屯太平東區/家庭換屋(0616調範圍,inactive,19109,7684,1,1,21,489.19047619,actions:leadgen.other,10273,300,每日,633,0.98383,2.486856,2025-06-11,進行中
2024-03-16,2026-06-03,30-60/北屯西屯/科技業/中小企業,inactive,11539,7151,2,,11,557.36363636,actions:leadgen.other,6131,300,每日,374,0.892625,1.61362,2025-07-14,進行中
