0508_黑馬B版 | spend=391 leads=None cpl=None ctr=2.130109 clicks=37.0 freq=1.178426 start=2026-05-28 end=進行中
0410_訂簽68萬 | spend=331 leads=None cpl=None ctr=3.370787 clicks=48.0 freq=1.110764 start=2026-05-28 end=進行中
0508_黑馬B版 | spend=163 leads=None cpl=None ctr=2.214839 clicks=20.0 freq=1.141593 start=2026-05-29 end=進行中
0424_南興角地V2 | spend=309 leads=None cpl=None ctr=1.878238 clicks=29.0 freq=1.128655 start=2026-05-29 end=進行中
0508_黑馬B版 | spend=133 leads=None cpl=None ctr=1.548887 clicks=16.0 freq=1.140177 start=2026-06-01 end=進行中
0424_南興角地V2 | spend=205 leads=None cpl=None ctr=2.192067 clicks=21.0 freq=1.108796 start=2026-06-01 end=進行中
0602_無痛換(影片) | spend=156 leads=None cpl=None ctr=7.569721 clicks=19.0 freq=1.167442 start=2026-05-27 end=進行中
0522_北屯表參道B版 | spend=278 leads=None cpl=None ctr=0.681537 clicks=11.0 freq=1.332783 start=2026-06-04 end=進行中
0602_無痛換(影片) | spend=48 leads=None cpl=None ctr=1.069519 clicks=2.0 freq=1.080925 start=2026-06-04 end=進行中
0410_訂簽68萬 | spend=205 leads=None cpl=None ctr=3.753609 clicks=39.0 freq=1.092534 start=2026-06-04 end=進行中
0410_訂簽68萬 | spend=554 leads=None cpl=None ctr=3.061728 clicks=62.0 freq=1.144068 start=2026-05-20 end=進行中
0512_雙捷運 | spend=233 leads=None cpl=None ctr=2.211302 clicks=18.0 freq=1.258114 start=2026-05-20 end=進行中
0518_好市多森活圈 | spend=72 leads=None cpl=None ctr=4.109589 clicks=9.0 freq=1.177419 start=2026-05-20 end=進行中
0522_北屯表參道B版 | spend=558 leads=None cpl=None ctr=1.666667 clicks=39.0 freq=1.710526 start=2026-05-20 end=進行中
0522_北屯表參道A版 | spend=261 leads=None cpl=None ctr=1.6 clicks=14.0 freq=1.590909 start=2026-05-20 end=進行中
0522_北屯表參道B版 | spend=0 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-05-20 end=進行中
0522_北屯表參道A版 | spend=627 leads=None cpl=None ctr=2.041943 clicks=37.0 freq=1.332353 start=2026-05-20 end=進行中
0508_黑馬B版 | spend=76 leads=None cpl=None ctr=3.586498 clicks=17.0 freq=1.055679 start=2026-05-25 end=進行中
0410_訂簽68萬 | spend=402 leads=None cpl=None ctr=4.041721 clicks=62.0 freq=1.094151 start=2026-05-25 end=進行中
0522_北屯表參道B版 | spend=32 leads=None cpl=None ctr=2.654867 clicks=3.0 freq=1.202128 start=2026-05-25 end=進行中
