分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2023-06-09,2026-07-09,28-55/沙鹿清水中科/工程師興趣,inactive,7093,3618,,1,2,1254.5,actions:leadgen.other,2509,4000,總經費,105,0.479346,1.960475,2025-03-02,2025-03-15
2023-06-09,2026-07-09,"32-65/中科沙鹿 /醫生興趣/投資置產",not_delivering,28544,9167,2,18,,322,actions:onsite_conversion.messaging_conversation_started_7d,5796,5800,總經費,1200,0.987948,3.113778,2025-03-13,2025-04-06
2023-06-09,2026-07-09,【1510】-30-60/龍井沙鹿/傳產/在地公務員/小學老師,inactive,32038,11567,2,21,26,127.88461538,actions:leadgen.other,3325,100,每日,1219,0.861477,2.769776,2025-05-07,進行中
2023-06-09,2026-07-09,"28-65 /沙鹿 梧棲 大雅(少量) /汽車維修美容業 (跑中午後",inactive,1079,795,,,,,,266,3000,總經費,9,0.463392,1.357233,2025-05-20,2025-05-29
2023-06-09,2026-07-09,30-60/沙鹿靜宜/在地富二代(0614加西屯,inactive,28775,12291,1,3,7,1085.28571429,actions:leadgen.other,7597,300,每日,369,0.479583,2.341144,2025-05-26,進行中
2023-06-09,2026-07-09,【1510】-30-60/龍井沙鹿/科技業/老師,inactive,7001,3835,,4,4,197.25,actions:leadgen.other,789,100,每日,192,0.685616,1.825554,2025-06-02,進行中
2023-06-09,2026-07-09,"【1510】-28-60/龍井西屯沙鹿/ 醫療人員",inactive,2972,2057,,,,,,464,150,每日,60,0.471063,1.444823,2025-06-13,進行中
2023-06-09,2026-07-09,30-60/沙鹿梧棲清水/系統工程+優惠,not_delivering,5232,2674,,,,,,1254,使用行銷活動預算,0,100,0.783639,1.956619,2025-08-01,進行中
2023-06-09,2026-07-09,"30-65 / 梧棲沙鹿南屯 / 網購興趣",inactive,5893,2967,1,2,,666.5,actions:onsite_conversion.messaging_conversation_started_7d,1333,200,每日,167,0.339386,1.986181,2025-08-13,進行中
2023-06-09,2026-07-09,"28-65 / 沙鹿東海中科 / 年輕成家(簡易)",inactive,2135,1560,,,,,,552,250,每日,43,0.28103,1.36859,2025-08-27,進行中
2023-06-09,2026-07-09,28-55/清水沙鹿中科/1%+工程師,inactive,2387,1446,,,1,1716,actions:leadgen.other,1716,300,每日,48,0.670297,1.650761,2025-09-09,進行中
2023-06-09,2026-07-09,30-60/沙鹿中科西屯/航空業/換屋,not_delivering,5349,4408,1,,3,1036,actions:leadgen.other,3108,300,每日,167,1.383436,1.213476,2025-11-20,2025-11-30
2023-06-09,2026-07-09,"大甲 清水 沙鹿 / 傳產 服飾 菜市場",inactive,3624,2463,,,1,1226,actions:leadgen.other,1226,300,每日,53,0.551876,1.471376,2024-08-28,進行中
2023-06-09,2026-07-09,"30-65 / 中科沙鹿 / 成家+工程師興趣",inactive,1428,813,,,,,,830,2800,總經費,61,1.120448,1.756458,2024-10-04,2024-10-15
2023-06-09,2026-07-09,28-55/沙鹿清水中科/工程師興趣V2,inactive,2420,1799,,,,,,746,3300,總經費,63,0.826446,1.345192,2025-03-12,2025-03-19
2023-06-09,2026-07-09,"40-65/中科沙鹿 /醫生興趣/投資置產(0415調)",inactive,27789,8095,6,24,,287.45833333,actions:onsite_conversion.messaging_conversation_started_7d,6899,13000,總經費,1048,1.032783,3.43286,2025-04-07,2025-06-06
2023-06-09,2026-07-09,"28-60 /沙鹿 梧棲/ 五金傳產零售",inactive,1316,914,,,,,,218,3000,總經費,15,0.531915,1.439825,2025-05-20,2025-05-29
2023-06-09,2026-07-09,"28-65 / 沙鹿東海中科 / 年輕成家(簡易)",not_delivering,15839,8580,,1,7,1025.71428571,actions:leadgen.other,7180,300,每日,281,0.934402,1.846037,2025-06-05,進行中
2023-06-09,2026-07-09,"1510/ 30-65 / 沙鹿+烏日+龍井 / 在地上班族/傳產",inactive,3466,1953,,,1,1175,actions:onsite_conversion.lead_grouped,1175,400,每日,71,0.865551,1.774706,2025-06-09,進行中
2023-06-09,2026-07-09,30-65/沙鹿東海西屯/精算師/注重打扮/常飛國外,inactive,6820,3462,,,2,1355.5,actions:leadgen.other,2711,400,每日,99,0.674487,1.96996,2025-06-12,2025-06-23
2023-06-09,2026-07-09,"30-65 / 沙鹿東海大甲 / 高知識分子家庭投資客(0621調",inactive,9095,5491,1,2,1,2506,actions:leadgen.other,2506,400,每日,123,0.604728,1.656347,2025-06-18,進行中
2023-06-09,2026-07-09,28-60/沙鹿西屯/醫療人員,not_delivering,44491,15399,57,78,3,78.16666667,actions:onsite_conversion.messaging_conversation_started_7d,6097,150,每日,3717,1.200243,2.889214,2025-06-19,2025-08-06
2023-06-09,2026-07-09,"28-55 / 沙鹿梧棲中科 / 科技興趣",inactive,7121,3345,,,,,,1386,300,每日,109,0.37916,2.128849,2025-07-05,進行中
2023-06-09,2026-07-09,"28-60 / 沙鹿東海中科 / 成家簡易",inactive,22077,10293,,,6,669,actions:leadgen.other,4014,300,每日,529,0.489197,2.144856,2025-07-18,進行中
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 1% 紡織業",inactive,7674,4656,,1,1,3217,actions:leadgen.other,3217,350,每日,121,0.664582,1.648196,2025-07-22,進行中
2023-06-09,2026-07-09,"35-60 / 沙鹿梧棲清水 / 1% 親子+日常",inactive,8946,4795,,,,,,3529,500,每日,148,0.581265,1.865693,2025-07-22,進行中
2023-06-09,2026-07-09,"30-60 / 沙鹿梧棲東海 / 1% 質感生活+旅遊(0726放大區域",not_delivering,22086,11428,2,7,13,1129.08333333,actions:leadgen.other,13549,500,每日,412,0.688219,1.932622,2025-07-22,2025-09-14
2023-06-09,2026-07-09,"35-60 / 清水沙鹿南屯 / 3C興趣(0730調區域)",inactive,3512,2193,2,2,,714.5,actions:onsite_conversion.messaging_conversation_started_7d,1429,400,每日,77,0.512528,1.601459,2025-07-28,進行中
2023-06-09,2026-07-09,"35-60 / 龍井沙鹿 / 慢活養生族",inactive,1439,1024,,,,,,1050,200,每日,19,0.486449,1.405273,2025-08-14,進行中
2023-06-09,2026-07-09,"30-55 /沙鹿梧棲中科 / 科技業生活興趣",inactive,2178,1615,,,,,,587,250,每日,37,0.229568,1.348607,2025-08-27,進行中
2023-06-09,2026-07-09,"30-60 / 沙鹿梧棲東海 / 股票政治",inactive,841,697,,,,,,919,300,每日,9,0.356718,1.2066,2025-09-08,進行中
2023-06-09,2026-07-09,28-60/清水梧棲沙鹿大雅神岡/機場員工,inactive,2742,1956,,,,,,1189,200,每日,44,0.619985,1.40184,2025-09-17,進行中
2023-06-09,2026-07-09,30-60/西屯沙鹿梧棲/醫療人員,inactive,5103,3164,,,1,1134,actions:leadgen.other,1134,190,每日,63,0.529101,1.612832,2025-10-07,進行中
2023-06-09,2026-07-09,"28-55 / 沙鹿梧棲 / 房地產",inactive,1704,995,,,,,,1288,350,每日,47,0.64554,1.712563,2025-11-10,進行中
2023-06-09,2026-07-09,"30-60 / 龍井沙鹿潭子豐原 / 企業主管(0113+興趣)",inactive,18444,9537,5,1,6,536.5,actions:leadgen.other,3219,250,每日,407,0.580134,1.933941,2026-01-07,進行中
2023-06-09,2026-07-09,"30-60 / 東海沙鹿 / 護理人員興趣",inactive,993,593,,,,,,681,300,每日,24,1.208459,1.674536,2026-02-02,進行中
2023-06-09,2026-07-09,"30-55 / 沙鹿龍井 / 上班族戶外",inactive,5404,2827,1,2,3,885.66666667,actions:leadgen.other,2657,200,每日,192,1.609919,1.911567,2026-03-03,進行中
2023-06-09,2026-07-09,"30-65 /沙鹿在地 / 教授學術",inactive,23054,8172,,,9,928.55555556,actions:leadgen.other,8357,9300,總經費,913,1.440097,2.821096,2024-08-21,2024-10-09
2023-06-09,2026-07-09,"30-55 /沙鹿東海中科 /教授老師+登山戶外",inactive,2603,1299,,,,,,1593,3000,總經費,86,0.96043,2.003849,2024-10-16,2024-10-25
2023-06-09,2026-07-09,"龍井 沙鹿 / 成家 品味",inactive,3196,1193,2,1,,859,actions:onsite_conversion.messaging_conversation_started_7d,859,2000,總經費,167,0.625782,2.678961,2024-12-22,2025-01-04
2023-06-09,2026-07-09,28-60/沙鹿清水中科精科/投資置產,inactive,7184,4597,,,2,1787,actions:leadgen.other,3574,6800,總經費,111,0.528953,1.562758,2025-03-04,2025-04-15
2023-06-09,2026-07-09,28-60/清水沙鹿西屯/銀行/保險業務,inactive,3202,2052,,,1,872,actions:leadgen.other,872,270,每日,43,0.562149,1.560429,2025-10-13,進行中
2023-06-09,2026-07-09,"28-55 / 沙鹿梧棲中科 / 科技業興趣",inactive,2004,1325,,,1,753,actions:leadgen.other,753,250,每日,89,1.247505,1.512453,2025-11-01,進行中
2023-06-09,2026-07-09,"28-60 / 沙鹿清水龍井 / 在地美食 / 日用品",inactive,3705,1994,,2,,482.5,actions:onsite_conversion.messaging_conversation_started_7d,965,250,每日,141,0.674764,1.858074,2025-11-03,進行中
2023-06-09,2026-07-09,"30-55 / 清水沙鹿中科 / 傳產興趣(1114調整地點",inactive,1288,929,,,,,,1016,250,每日,9,0.15528,1.386437,2025-11-13,進行中
2023-06-09,2026-07-09,"28-55 / 沙鹿梧棲中科 / 零售批發自營",inactive,3943,2139,,1,,913,actions:onsite_conversion.messaging_conversation_started_7d,913,150,每日,142,1.141263,1.843385,2025-11-20,進行中
2023-06-09,2026-07-09,"28-60/ 沙鹿 / 1%+公務員(1201改沙鹿)",inactive,4893,2408,,,1,2016,actions:leadgen.other,2016,200,每日,145,1.062743,2.031977,2025-11-26,進行中
2023-06-09,2026-07-09,"28-55 / 沙鹿東海 / 教育相關",not_delivering,2991,1796,,,,,,612,200,每日,120,1.47108,1.665367,2025-11-27,2025-11-30
2023-06-09,2026-07-09,"35-60 / 沙鹿 / 退休健康保健",inactive,4134,2908,2,,3,726.66666667,actions:leadgen.other,2180,200,每日,134,1.088534,1.421596,2025-12-11,進行中
2023-06-09,2026-07-09,"30-60 / 沙鹿 / 小家庭自營商",inactive,1330,915,,,,,,777,200,每日,37,0.75188,1.453552,2025-12-12,進行中
2023-06-09,2026-07-09,"27-55 / 沙鹿 /  年輕藝文興趣",inactive,2357,1382,,,,,,1211,200,每日,70,0.890963,1.705499,2025-12-16,進行中
2023-06-09,2026-07-09,"28-55 / 沙鹿清水 / 戶外露營釣魚",inactive,19009,6745,3,6,,409.83333333,actions:onsite_conversion.messaging_conversation_started_7d,2459,200,每日,430,0.399811,2.818236,2025-12-22,進行中
2023-06-09,2026-07-09,"30-60 / 沙鹿+8K / 公教職員",inactive,1539,904,,,,,,607,200,每日,30,0.844704,1.702434,2026-01-06,進行中
