分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"28-45 / 北區西區東區 / 美業社群精品(0317+東區)",,,1,1786,actions:leadgen.other,1786,54,1.653399,1.547134,2026-03-12,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 水電弱電成家",,,,,,816,28,1.806452,1.247987,2026-03-16,進行中
2025-10-28,2026-05-29,"30-50 / 北屯北區 / 自由業(0401+地點興趣)",1,,9,779.33333333,actions:leadgen.other,7014,273,1.979408,1.491672,2026-03-18,進行中
2025-10-28,2026-05-29,"30-50 / 西區西屯 / 視覺設計",,,1,1887,actions:leadgen.other,1887,56,1.552106,1.426651,2026-03-18,進行中
2025-10-28,2026-05-29,"30-50 / 中科中清 / 通勤製造業",,,1,1896,actions:leadgen.other,1896,65,2.126963,1.403122,2026-03-18,進行中
2025-10-28,2026-05-29,"30-55 / 潭子豐原 / 金融投資",,,,,,1515,54,1.955105,1.397066,2026-03-18,進行中
2025-10-28,2026-05-29,"28-45/ 北屯潭子/ 在地成家",,,1,1404,actions:leadgen.other,1404,24,1.495327,1.431757,2026-01-22,2026-02-01
2025-10-28,2026-05-29,"40-65/ 北屯潭子/ 退休客群(排除IG)",,,1,1730,actions:leadgen.other,1730,75,4.424779,1.436441,2026-01-22,2026-02-01
2025-10-28,2026-05-29,"33-58/ 東區太平/ 在地家庭主婦(純女)(0124調區域",,,,,,1538,70,3.659174,1.341515,2026-01-22,2026-02-01
2025-10-28,2026-05-29,"30-60/ 洲際潭子/ 傳產製造貿易(0124調區域",,,1,1567,actions:leadgen.other,1567,48,2.874252,1.277735,2026-01-22,2026-02-01
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 食品研發化工",,,2,1095,actions:leadgen.other,2190,92,2.153558,1.537244,2026-03-20,進行中
2025-10-28,2026-05-29,"30-50 / 中清崇德 / 財會公務員",,,,,,907,31,2.023499,1.196875,2026-03-20,進行中
2025-10-28,2026-05-29,"28-50 / 中科中清 / 台積電/旅遊/滑雪(0324調興趣)",,,3,1587.33333333,actions:leadgen.other,4762,142,1.507271,1.621515,2026-03-23,進行中
2025-10-28,2026-05-29,"35-60 / 樹孝軍功 / 美食文教職業(0324調興趣)",,,,,,948,28,1.947149,1.273694,2026-03-23,進行中
2025-10-28,2026-05-29,"30-50 / 北屯太平 / 上班族戶外運動",,,,,,977,35,1.932634,1.302878,2026-03-24,進行中
2025-10-28,2026-05-29,"30-50 / 北屯74 / 業務通勤",,,7,729,actions:leadgen.other,5103,147,1.341731,1.41222,2026-03-24,進行中
2025-10-28,2026-05-29,"30-50 / 大台中 / 金融投資",,,7,645.28571429,actions:leadgen.other,4517,173,2.023628,1.474474,2026-03-26,進行中
2025-10-28,2026-05-29,"30-50 / 北區西屯 / 櫃哥櫃姐",,,,,,1158,28,1.052236,1.165572,2026-03-26,進行中
2025-10-28,2026-05-29,"28-45 / 北屯潭子 / 流行娛樂房產",,,,,,1489,54,2.167804,1.337809,2026-03-27,進行中
